No,;Time;Source;Destination;Protocol;Length;Info;;;Time1;Time2;Delay;;Delay1;Delay2;Jitter
22;14,150077;192,168,1,6;104,20,1,94;TCP;66;58000  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;14,150077;14,166641;0,2397;;0,183358;0,056342;-0,127016
26;14,166641;125,162,96,1;192,168,1,6;ICMP;94;Destination unreachable (Communication administratively filtered);;;14,166641;14,406341;0,056342;;0,056067;0,000275;-0,055792
28;14,406341;192,168,1,6;104,20,1,94;TCP;66;58001  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;14,406341;14,462683;0,000275;;-0,002052;0,002327;0,004379
29;14,462683;104,20,1,94;192,168,1,6;TCP;66;443  >  58001 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;14,462683;14,462958;0,002327;;-0,055825;0,058152;0,113977
30;14,462958;192,168,1,6;104,20,1,94;TCP;54;58001  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;14,462958;14,465285;0,058152;;0,012336;0,045816;0,03348
31;14,465285;192,168,1,6;104,20,1,94;TLSv1,3;602;Client Hello;;;14,465285;14,523437;0,045816;;0,021812;0,024004;0,002192
32;14,523437;104,20,1,94;192,168,1,6;TLSv1,3;266;Server Hello, Change Cipher Spec, Application Data;;;14,523437;14,569253;0,024004;;0,023155;0,000849;-0,022306
33;14,569253;192,168,1,6;104,20,1,94;TCP;54;58001  >  443 [ACK] Seq=549 Ack=213 Win=131328 Len=0;;;14,569253;14,593257;0,000849;;-0,001275;0,002124;0,003399
35;14,593257;192,168,1,6;104,20,1,94;TLSv1,3;118;Change Cipher Spec, Application Data;;;14,593257;14,594106;0,002124;;-0,052197;0,054321;0,106518
36;14,594106;192,168,1,6;104,20,1,94;TLSv1,3;146;Application Data;;;14,594106;14,59623;0,054321;;0,051198;0,003123;-0,048075
37;14,59623;192,168,1,6;104,20,1,94;TLSv1,3;1025;Application Data;;;14,59623;14,650551;0,003123;;0,002934;0,000189;-0,002745
38;14,650551;104,20,1,94;192,168,1,6;TCP;56;443  >  58001 [ACK] Seq=213 Ack=613 Win=67584 Len=0;;;14,650551;14,653674;0,000189;;-0,04317;0,043359;0,086529
39;14,653674;104,20,1,94;192,168,1,6;TLSv1,3;85;[TCP Previous segment not captured] , Application Data;;;14,653674;14,653863;0,043359;;-0,207265;0,250624;0,457889
40;14,653863;192,168,1,6;104,20,1,94;TCP;66;[TCP Dup ACK 33#1] 58001  >  443 [ACK] Seq=1676 Ack=213 Win=131328 Len=0 SLE=725 SRE=756;;;14,653863;14,697222;0,250624;;0,250502;0,000122;-0,25038
41;14,697222;104,20,1,94;192,168,1,6;TCP;56;443  >  58001 [ACK] Seq=756 Ack=1676 Win=69632 Len=0;;;14,697222;14,947846;0,000122;;-0,000516;0,000638;0,001154
42;14,947846;104,20,1,94;192,168,1,6;TLSv1,3;1445;Application Data;;;14,947846;14,947968;0,000638;;0,000638;0;-0,000638
43;14,947968;192,168,1,6;104,20,1,94;TCP;66;[TCP Dup ACK 33#2] 58001  >  443 [ACK] Seq=1676 Ack=213 Win=131328 Len=0 SLE=725 SRE=2147;;;14,947968;14,948606;0;;0;0;0
44;14,948606;104,20,1,94;192,168,1,6;TLSv1,3;1506;Application Data;;;14,948606;14,948606;0;;0;0;0
45;14,948606;104,20,1,94;192,168,1,6;TLSv1,3;1384;[TCP Previous segment not captured] , Continuation Data;;;14,948606;14,948606;0;;-0,000128;0,000128;0,000256
46;14,948606;104,20,1,94;192,168,1,6;TLSv1,3;1445;Application Data;;;14,948606;14,948606;0,000128;;-0,000017;0,000145;0,000162
47;14,948606;104,20,1,94;192,168,1,6;TLSv1,3;120;Application Data, Application Data;;;14,948606;14,948734;0,000145;;0,00006;0,000085;0,000025
48;14,948734;192,168,1,6;104,20,1,94;TCP;66;[TCP Dup ACK 33#3] 58001  >  443 [ACK] Seq=1676 Ack=213 Win=131328 Len=0 SLE=725 SRE=3599;;;14,948734;14,948879;0,000085;;-0,000029;0,000114;0,000143
49;14,948879;192,168,1,6;104,20,1,94;TCP;74;[TCP Dup ACK 33#4] 58001  >  443 [ACK] Seq=1676 Ack=213 Win=131328 Len=0 SLE=9163 SRE=10493 SLE=725 SRE=3599;;;14,948879;14,948964;0,000114;;-0,057146;0,05726;0,114406
50;14,948964;192,168,1,6;104,20,1,94;TCP;74;[TCP Dup ACK 33#5] 58001  >  443 [ACK] Seq=1676 Ack=213 Win=131328 Len=0 SLE=9163 SRE=11884 SLE=725 SRE=3599;;;14,948964;14,949078;0,05726;;0,05726;0;-0,05726
51;14,949078;192,168,1,6;104,20,1,94;TCP;74;[TCP Dup ACK 33#6] 58001  >  443 [ACK] Seq=1676 Ack=213 Win=131328 Len=0 SLE=9163 SRE=11950 SLE=725 SRE=3599;;;14,949078;15,006338;0;;0;0;0
52;15,006338;104,20,1,94;192,168,1,6;TCP;1445;[TCP Retransmission] 443  >  58001 [PSH, ACK] Seq=4929 Ack=1676 Win=69632 Len=1391;;;15,006338;15,006338;0;;-0,000164;0,000164;0,000328
53;15,006338;104,20,1,94;192,168,1,6;TCP;1445;[TCP Retransmission] 443  >  58001 [PSH, ACK] Seq=6320 Ack=1676 Win=69632 Len=1391;;;15,006338;15,006338;0,000164;;-0,000037;0,000201;0,000238
54;15,006338;104,20,1,94;192,168,1,6;TCP;1506;[TCP Retransmission] 443  >  58001 [ACK] Seq=7711 Ack=1676 Win=69632 Len=1452;;;15,006338;15,006502;0,000201;;-0,029267;0,029468;0,058735
55;15,006502;192,168,1,6;104,20,1,94;TCP;82;[TCP Dup ACK 33#7] 58001  >  443 [ACK] Seq=1676 Ack=213 Win=131328 Len=0 SLE=4929 SRE=7711 SLE=9163 SRE=11950 SLE=725 SRE=3599;;;15,006502;15,006703;0,029468;;-0,002029;0,031497;0,033526
56;15,006703;192,168,1,6;104,20,1,94;TCP;74;[TCP Dup ACK 33#8] 58001  >  443 [ACK] Seq=1676 Ack=213 Win=131328 Len=0 SLE=4929 SRE=11950 SLE=725 SRE=3599;;;15,006703;15,036171;0,031497;;0,031343;0,000154;-0,031189
57;15,036171;192,168,1,6;36,92,238,205;TCP;66;[TCP Retransmission] 57999  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;15,036171;15,067668;0,000154;;-0,090052;0,090206;0,180258
58;15,067668;104,20,1,94;192,168,1,6;TCP;1384;[TCP Retransmission] 443  >  58001 [PSH, ACK] Seq=3599 Ack=1676 Win=69632 Len=1330;;;15,067668;15,067822;0,090206;;0,071394;0,018812;-0,052582
59;15,067822;192,168,1,6;104,20,1,94;TCP;66;[TCP Dup ACK 33#9] 58001  >  443 [ACK] Seq=1676 Ack=213 Win=131328 Len=0 SLE=725 SRE=11950;;;15,067822;15,158028;0,018812;;-0,715204;0,734016;1,44922
60;15,158028;192,168,1,6;104,20,1,94;TCP;66;[TCP Retransmission] 58000  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;15,158028;15,17684;0,734016;;0,733768;0,000248;-0,73352
61;15,17684;125,162,96,1;192,168,1,6;ICMP;94;Destination unreachable (Communication administratively filtered);;;15,17684;15,910856;0,000248;;-0,009707;0,009955;0,019662
62;15,910856;104,20,1,94;192,168,1,6;TCP;566;[TCP Retransmission] 443  >  58001 [PSH, ACK] Seq=213 Ack=1676 Win=69632 Len=512;;;15,910856;15,911104;0,009955;;-0,043794;0,053749;0,097543
63;15,911104;192,168,1,6;104,20,1,94;TCP;54;58001  >  443 [ACK] Seq=1676 Ack=11950 Win=131584 Len=0;;;15,911104;15,921059;0,053749;;-0,56106;0,614809;1,175869
64;15,921059;192,168,1,6;104,20,1,94;TLSv1,3;85;Application Data;;;15,921059;15,974808;0,614809;;0,59097;0,023839;-0,567131
65;15,974808;104,20,1,94;192,168,1,6;TCP;56;443  >  58001 [ACK] Seq=11950 Ack=1707 Win=69632 Len=0;;;15,974808;16,589617;0,023839;;-0,14278;0,166619;0,309399
112;16,589617;192,168,1,6;172.217.194.188;TCP;55;57977  >  5228 [ACK] Seq=1 Ack=1 Win=512 Len=1;;;16,589617;16,613456;0,166619;;0,166499;0,00012;-0,166379
115;16,613456;172.217.194.188;192,168,1,6;TCP;66;5228  >  57977 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2;;;16,613456;16,780075;0,00012;;-0,261105;0,261225;0,52233
127;16,780075;117,18,237,29;192,168,1,6;TCP;56;80  >  57945 [ACK] Seq=1 Ack=1 Win=290 Len=0;;;16,780075;16,780195;0,261225;;0,235507;0,025718;-0,209789
128;16,780195;192,168,1,6;117,18,237,29;TCP;54;[TCP ACKed unseen segment] 57945  >  80 [ACK] Seq=1 Ack=2 Win=516 Len=0;;;16,780195;17,04142;0,025718;;0,02556;0,000158;-0,025402
156;17,04142;192,168,1,6;18.139.205.223;TCP;66;58002  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;17,04142;17,067138;0,000158;;-0,001319;0,001477;0,002796
164;17,067138;18.139.205.223;192,168,1,6;TCP;66;443  >  58002 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1452 SACK_PERM=1 WS=256;;;17,067138;17,067296;0,001477;;-0,026202;0,027679;0,053881
165;17,067296;192,168,1,6;18.139.205.223;TCP;54;58002  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0;;;17,067296;17,068773;0,027679;;0,024657;0,003022;-0,021635
167;17,068773;192,168,1,6;18.139.205.223;TLSv1,2;571;Client Hello;;;17,068773;17,096452;0,003022;;0,003022;0;-0,003022
180;17,096452;18.139.205.223;192,168,1,6;TCP;54;443  >  58002 [ACK] Seq=1 Ack=518 Win=28160 Len=0;;;17,096452;17,099474;0;;0;0;0
181;17,099474;18.139.205.223;192,168,1,6;TLSv1,2;1506;Server Hello;;;17,099474;17,099474;0;;0;0;0
182;17,099474;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=1453 Ack=518 Win=28160 Len=1452 [TCP segment of a reassembled PDU];;;17,099474;17,099474;0;;-0,000336;0,000336;0,000672
183;17,099474;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=2905 Ack=518 Win=28160 Len=1452 [TCP segment of a reassembled PDU];;;17,099474;17,099474;0,000336;;-0,042084;0,04242;0,084504
184;17,099474;18.139.205.223;192,168,1,6;TLSv1,2;1192;Certificate, Server Key Exchange, Server Hello Done;;;17,099474;17,09981;0,04242;;0,042038;0,000382;-0,041656
185;17,09981;192,168,1,6;18.139.205.223;TCP;54;58002  >  443 [ACK] Seq=518 Ack=5495 Win=132096 Len=0;;;17,09981;17,14223;0,000382;;-0,000159;0,000541;0,0007
190;17,14223;192,168,1,6;18.139.205.223;TLSv1,2;180;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;17,14223;17,142612;0,000541;;0,000541;0;-0,000541
191;17,142612;192,168,1,6;18.139.205.223;TLSv1,2;153;Application Data;;;17,142612;17,143153;0;;0;0;0
192;17,143153;192,168,1,6;18.139.205.223;TCP;1506;58002  >  443 [ACK] Seq=743 Ack=5495 Win=132096 Len=1452 [TCP segment of a reassembled PDU];;;17,143153;17,143153;0;;-0,017628;0,017628;0,035256
193;17,143153;192,168,1,6;18.139.205.223;TCP;1506;58002  >  443 [ACK] Seq=2195 Ack=5495 Win=132096 Len=1452 [TCP segment of a reassembled PDU];;;17,143153;17,143153;0,017628;;0,009696;0,007932;-0,001764
194;17,143153;192,168,1,6;18.139.205.223;TLSv1,2;191;Application Data;;;17,143153;17,160781;0,007932;;0,007932;0;-0,007932
198;17,160781;192,168,1,6;104,20,1,94;TCP;66;[TCP Retransmission] 58000  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;17,160781;17,168713;0;;-0,000123;0,000123;0,000246
199;17,168713;18.139.205.223;192,168,1,6;TLSv1,2;328;New Session Ticket, Change Cipher Spec, Encrypted Handshake Message;;;17,168713;17,168713;0,000123;;-0,000306;0,000429;0,000735
200;17,168713;18.139.205.223;192,168,1,6;TLSv1,2;123;Application Data;;;17,168713;17,168836;0,000429;;-0,001052;0,001481;0,002533
201;17,168836;192,168,1,6;18.139.205.223;TCP;54;58002  >  443 [ACK] Seq=3784 Ack=5838 Win=131584 Len=0;;;17,168836;17,169265;0,001481;;-0,001917;0,003398;0,005315
202;17,169265;192,168,1,6;18.139.205.223;TLSv1,2;92;Application Data;;;17,169265;17,170746;0,003398;;-0,003684;0,007082;0,010766
203;17,170746;18.139.205.223;192,168,1,6;TLSv1,2;92;Application Data;;;17,170746;17,174144;0,007082;;0,000437;0,006645;0,006208
204;17,174144;125,162,96,1;192,168,1,6;ICMP;94;Destination unreachable (Communication administratively filtered);;;17,174144;17,181226;0,006645;;0,006645;0;-0,006645
207;17,181226;18.139.205.223;192,168,1,6;TCP;56;443  >  58002 [ACK] Seq=5876 Ack=3647 Win=33792 Len=0;;;17,181226;17,187871;0;;-0,000103;0,000103;0,000206
208;17,187871;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=5876 Ack=3784 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,187871;17,187871;0,000103;;-0,001151;0,001254;0,002405
209;17,187871;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=7328 Ack=3784 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,187871;17,187974;0,001254;;0,001204;0,00005;-0,001154
210;17,187974;192,168,1,6;18.139.205.223;TCP;54;58002  >  443 [ACK] Seq=3822 Ack=8780 Win=132096 Len=0;;;17,187974;17,189228;0,00005;;-0,001842;0,001892;0,003734
211;17,189228;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=8780 Ack=3784 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,189228;17,189278;0,001892;;0,001892;0;-0,001892
212;17,189278;192,168,1,6;18.139.205.223;TCP;54;58002  >  443 [ACK] Seq=3822 Ack=10232 Win=132096 Len=0;;;17,189278;17,19117;0;;-0,000039;0,000039;0,000078
213;17,19117;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=10232 Ack=3784 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,19117;17,19117;0,000039;;-0,000993;0,001032;0,002025
214;17,19117;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=11684 Ack=3784 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,19117;17,191209;0,001032;;0,000979;0,000053;-0,000926
215;17,191209;192,168,1,6;18.139.205.223;TCP;54;58002  >  443 [ACK] Seq=3822 Ack=13136 Win=132096 Len=0;;;17,191209;17,192241;0,000053;;-0,002036;0,002089;0,004125
216;17,192241;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=13136 Ack=3784 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,192241;17,192294;0,002089;;0,002089;0;-0,002089
217;17,192294;192,168,1,6;18.139.205.223;TCP;54;58002  >  443 [ACK] Seq=3822 Ack=14588 Win=132096 Len=0;;;17,192294;17,194383;0;;-0,000052;0,000052;0,000104
218;17,194383;18.139.205.223;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;17,194383;17,194383;0,000052;;-0,001212;0,001264;0,002476
219;17,194383;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=16040 Ack=3784 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,194383;17,194435;0,001264;;0,001208;0,000056;-0,001152
220;17,194435;192,168,1,6;18.139.205.223;TCP;54;58002  >  443 [ACK] Seq=3822 Ack=17492 Win=132096 Len=0;;;17,194435;17,195699;0,000056;;-0,002996;0,003052;0,006048
221;17,195699;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=17492 Ack=3784 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,195699;17,195755;0,003052;;0,003052;0;-0,003052
222;17,195755;192,168,1,6;18.139.205.223;TCP;54;58002  >  443 [ACK] Seq=3822 Ack=18944 Win=132096 Len=0;;;17,195755;17,198807;0;;-0,000069;0,000069;0,000138
223;17,198807;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=18944 Ack=3784 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,198807;17,198807;0,000069;;-0,019487;0,019556;0,039043
224;17,198807;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=20396 Ack=3784 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,198807;17,198876;0,019556;;0,019556;0;-0,019556
225;17,198876;192,168,1,6;18.139.205.223;TCP;54;58002  >  443 [ACK] Seq=3822 Ack=21848 Win=132096 Len=0;;;17,198876;17,218432;0;;0;0;0
227;17,218432;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=21848 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,218432;17,218432;0;;0;0;0
228;17,218432;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=23300 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,218432;17,218432;0;;0;0;0
229;17,218432;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=24752 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,218432;17,218432;0;;0;0;0
230;17,218432;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=26204 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,218432;17,218432;0;;0;0;0
231;17,218432;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=27656 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,218432;17,218432;0;;0;0;0
232;17,218432;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=29108 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,218432;17,218432;0;;0;0;0
233;17,218432;18.139.205.223;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;17,218432;17,218432;0;;0;0;0
234;17,218432;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=32012 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,218432;17,218432;0;;0;0;0
235;17,218432;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=33464 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,218432;17,218432;0;;0;0;0
236;17,218432;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=34916 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,218432;17,218432;0;;-0,00013;0,00013;0,00026
237;17,218432;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=36368 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,218432;17,218432;0,00013;;-0,00412;0,00425;0,00837
238;17,218432;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=37820 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,218432;17,218562;0,00425;;0,00425;0;-0,00425
239;17,218562;192,168,1,6;18.139.205.223;TCP;54;58002  >  443 [ACK] Seq=3822 Ack=39272 Win=132096 Len=0;;;17,218562;17,222812;0;;0;0;0
240;17,222812;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=39272 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,222812;17,222812;0;;0;0;0
241;17,222812;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=40724 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,222812;17,222812;0;;0;0;0
242;17,222812;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=42176 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,222812;17,222812;0;;-0,000097;0,000097;0,000194
243;17,222812;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=43628 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,222812;17,222812;0,000097;;-0,001729;0,001826;0,003555
244;17,222812;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=45080 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,222812;17,222909;0,001826;;0,001826;0;-0,001826
245;17,222909;192,168,1,6;18.139.205.223;TCP;54;58002  >  443 [ACK] Seq=3822 Ack=46532 Win=132096 Len=0;;;17,222909;17,224735;0;;-0,00006;0,00006;0,00012
246;17,224735;18.139.205.223;192,168,1,6;TLSv1,2;1506;Application Data, Application Data;;;17,224735;17,224735;0,00006;;-0,001285;0,001345;0,00263
247;17,224735;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=47984 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,224735;17,224795;0,001345;;0,001281;0,000064;-0,001217
248;17,224795;192,168,1,6;18.139.205.223;TCP;54;58002  >  443 [ACK] Seq=3822 Ack=49436 Win=132096 Len=0;;;17,224795;17,22614;0,000064;;-0,001417;0,001481;0,002898
249;17,22614;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=49436 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,22614;17,226204;0,001481;;-0,000932;0,002413;0,003345
250;17,226204;192,168,1,6;18.139.205.223;TCP;54;58002  >  443 [ACK] Seq=3822 Ack=50888 Win=132096 Len=0;;;17,226204;17,227685;0,002413;;0,002413;0;-0,002413
251;17,227685;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=50888 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,227685;17,230098;0;;0;0;0
252;17,230098;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=52340 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,230098;17,230098;0;;-0,000072;0,000072;0,000144
253;17,230098;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=53792 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,230098;17,230098;0,000072;;-0,023468;0,02354;0,047008
254;17,230098;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=55244 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,230098;17,23017;0,02354;;0,02354;0;-0,02354
255;17,23017;192,168,1,6;18.139.205.223;TCP;54;58002  >  443 [ACK] Seq=3822 Ack=56696 Win=132096 Len=0;;;17,23017;17,25371;0;;0;0;0
256;17,25371;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=56696 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,25371;17,25371;0;;0;0;0
257;17,25371;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=58148 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,25371;17,25371;0;;0;0;0
258;17,25371;18.139.205.223;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;17,25371;17,25371;0;;0;0;0
259;17,25371;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=61052 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,25371;17,25371;0;;0;0;0
